# GBT UWBR with no RFI - Ryan Lynch 6/2/23
#freq	Trx	G	eps
0.7005859376	66.71858211	2.872522218	0.01
0.7020507814	67.55158115	2.889921839	0.01
0.7035156251	68.37634701	2.893694586	0.01
0.7049804689	68.98550251	2.906997955	0.01
0.7064453126	69.64246935	2.917013134	0.01
0.7079101564	70.17570846	2.925269908	0.01
0.7093750001	70.83103755	2.926838679	0.01
0.7108398439	71.97604583	3.527364925	0.01
0.7123046876	72.58549377	3.654966084	0.01
0.7137695314	73.15721502	3.643333849	0.01
0.7152343751	73.33231151	2.986505405	0.01
0.7166992189	73.62658653	2.956962758	0.01
0.7181640626	74.39659714	2.959902702	0.01
0.7196289064	75.52613607	2.958907573	0.01
0.7210937501	76.10374002	2.952745154	0.01
0.7225585939	77.14782369	2.948356894	0.01
0.7240234376	78.10661572	2.952148988	0.01
0.7254882814	78.6609257	2.964745107	0.01
0.7269531251	79.40700463	2.97680222	0.01
0.7284179689	80.25409643	2.994578599	0.01
0.7298828126	86.3834289	3.074771348	0.01
0.7313476564	85.04684516	3.042552709	0.01
0.7328125001	82.44630697	3.051364145	0.01
0.7342773439	78.67492383	3.042340165	0.01
0.7357421876	82.90988243	3.056912246	0.01
0.7372070314	81.20387364	3.045455276	0.01
0.7386718751	80.44654324	3.074246659	0.01
0.7401367189	78.61340408	3.051176762	0.01
0.7416015626	91.07132196	3.096716583	0.01
0.7430664064	88.41217246	3.165714436	0.01
0.7445312501	78.67694835	3.146279862	0.01
0.7459960939	69.66614434	3.109192848	0.01
0.7474609376	83.29641181	3.023062852	0.01
0.7489257814	83.25685469	3.067115599	0.01
0.7503906251	81.87230652	3.06762518	0.01
0.7518554689	79.65022545	3.086190577	0.01
0.7533203126	78.40049949	3.090214691	0.01
0.7547851564	77.06431138	3.094061487	0.01
0.7562500001	64.49487463	3.195949208	0.01
0.7577148439	63.00303002	3.190821689	0.01
0.7591796876	65.59578812	3.173072972	0.01
0.7606445314	64.49051312	3.147602045	0.01
0.7621093751	63.32298043	3.109028733	0.01
0.7635742189	62.54006763	3.067743752	0.01
0.7650390626	61.0265531	3.019728323	0.01
0.7665039064	60.0497593	2.96978734	0.01
0.7679687501	56.53880961	2.936465447	0.01
0.7694335939	55.12895171	2.891645874	0.01
0.7708984376	54.26843226	2.853833261	0.01
0.7723632814	53.1920146	2.815985761	0.01
0.7738281251	52.5223841	2.782544056	0.01
0.7752929689	51.38045196	2.750331144	0.01
0.7767578126	50.49271081	2.71558552	0.01
