#freq (MHz)	Tsys (Average; K)	gain (Average; K/Jy)	SEFD (Jy)
700	66.7185821056856	1.91229285177947	34.8893120860652
800	45.3489634596229	1.88577810587828	24.0478788666931
900	31.1607916309659	1.8491631816146	16.8512935693203
1000	34.8516281033069	1.85362876314913	18.8018382084757
1100	37.8215986071208	1.83988785589225	20.5564695076371
1200	43.3333915427272	1.8664993086547	23.2163983891107
1300	28.1237877989645	1.82305801771403	15.4267102449265
1400	31.2878598068168	1.92642911943973	16.2413760730093
1500	51.1194910069327	1.80109987156973	28.3823744667641
1600	37.925487867995	1.84482843877472	20.5577315867833
1700	30.8675777340735	1.80519284725647	17.0993241974042
1800	27.7703930502192	1.70895814302767	16.2498965603803
1900	39.2637100844629	1.98369949154019	19.7931744459831
2000	32.7228174469747	1.71891326109827	19.0369218665909
2100	29.6043353075985	1.84817051412699	16.0181839723715
2200	19.1058802930921	2.03118256041752	9.40628413487598
2300	31.6619453693803	1.99146163931581	15.8988477328934
2400	30.975423279879	2.16910361048711	14.2802875483311
2500	30.2889011903777	2.15063259998696	14.0837171307462
2600	34.7197287164106	2.03104603308398	17.0945060578915
2700	33.5786155367564	2.06322381900762	16.274829336212
2800	36.9401248267161	2.13612657079837	17.2930412138031
2900	36.3915138070733	2.10936721342459	17.252336897752
3000	32.4958929975624	2.13142206643015	15.246108928575
3100	35.2700592274284	2.08754275029437	16.8954907498085
3200	37.1586141569349	1.77082209103785	20.9838212121902
3300	39.1344058468038	1.51525429992932	25.8269558110671
3400	42.1917192010829	1.85334148688481	22.7652159624403
3500	39.968580601925	2.14616701845243	18.6232386660874
3600	51.24071962883	1.62323604348143	31.5670169071232
3700	52.7174925611967	1.09573424715629	48.1115678350039
3800	50.4013568451503	1.55018823139879	32.5130560433112
3900	60.9803834810695	1.31522184605751	46.3650932075555
4000	103.522107300507	0.848193125532111	122.050160729095
4100	103.917711958073	1.02524916689697	101.358494416135
4200	103.917711958073	1.30333543508121	79.7321312387998
