#freq (MHz)	Tsys (Average; K)	gain (Average; K/Jy)	SEFD (Jy)
700	58.71858211	1.912292852	30.70585243
800	37.34896346	1.885778106	19.8055982
900	23.16079163	1.849163182	12.52501232
1000	26.8516281	1.853628763	14.48597941
1100	29.82159861	1.839887856	16.20837841
1200	35.33339154	1.866499309	18.93029983
1300	20.1237878	1.823058018	11.03847908
1400	23.28785981	1.926429119	12.08861493
1500	43.11949101	1.801099872	23.9406441
1600	29.92548787	1.844828439	16.22128499
1700	22.86757773	1.805192847	12.66766471
1800	19.77039305	1.708958143	11.56868185
1900	31.26371008	1.983699492	15.76030554
2000	24.72281745	1.718913261	14.3828185
2100	21.60433531	1.848170514	11.68957904
2200	11.10588029	2.03118256	5.467691831
2300	23.66194537	1.991461639	11.8816978
2400	22.97542328	2.16910361	10.59212809
2500	22.28890119	2.1506326	10.36388139
2600	26.71972872	2.031046033	13.155649
2700	25.57861554	2.063223819	12.39740221
2800	28.94012483	2.136126571	13.54794478
2900	28.39151381	2.109367213	13.45973031
3000	24.495893	2.131422066	11.49274627
3100	27.27005923	2.08754275	13.0632339
3200	29.15861416	1.770822091	16.46614547
3300	31.13440585	1.5152543	20.54731397
3400	34.1917192	1.853341487	18.44868819
3500	31.9685806	2.146167018	14.89566298
3600	43.24071963	1.623236043	26.63859012
3700	44.71749256	1.095734247	40.81052744
3800	42.40135685	1.550188231	27.35239243
3900	52.98038348	1.315221846	40.28246918
4000	95.5221073	0.848193126	112.6183465
4100	95.91771196	1.025249167	93.55551319
4200	95.91771196	1.303335435	73.59403372
