#Freq	Trx	Gain
700	32.1573	1.91221449275362
800	27.52068	1.88570083333333
900	24.29818	1.84908740942029
1000	23.49168	1.85355280797101
1100	21.28078	1.83981246376812
1200	18.91298	1.86642282608696
1300	16.02288	1.82298331521739
1400	16.47718	1.92635018115942
1500	14.38294	1.80102606884058
1600	15.28975	1.8447528442029
1700	20.16268	1.80511887681159
1800	15.08982	1.70888811594203
1900	15.80746	1.98361820652174
2000	10.95132	1.71884282608696
2100	17.33909	1.8480947826087
2200	17.24519	2.03109932971014
2300	19.18038	1.99138003623188
2400	18.69148	2.16901472826087
2500	19.68998	2.15054447463768
2600	18.3647	2.03096280797101
2700	16.89	2.06313927536232
2800	20.52278	2.13603903985507
2900	16.6968	2.10928077898551
3000	22.86408	2.13133472826087
3100	22.25508	2.08745721014493
3200	14.85484	1.77074952898551
3300	18.11265	1.51519221014493
3400	21.07108	1.85326554347826
3500	20.9466	2.14607907608696
3600	21.05675	1.62316952898551
3700	22.63668	1.09568934782609
3800	21.76547	1.55012471014493
3900	26.69168	1.31516795289855
4000	25.76338	0.848158369565217
4100	25.5114	1.0252071557971
4200	26.2618	1.30328202898551
