#freq (MHz),Tsys (Average; K),gain (Average; K/Jy)
4000.878906,103.917712,2.45642432
3999.414063,103.258371,2.433381162
3997.949219,102.59903,2.410338004
3996.484375,101.939689,2.387294847
3995.019531,101.2803479,2.364251689
3993.554688,100.6210069,2.341208531
3992.089844,99.96166595,2.318165374
3990.625,99.30232494,2.295122216
3989.160156,98.64298394,2.272079058
3987.695313,97.98364294,2.2490359
3986.230469,97.32430194,2.225992743
3984.765625,96.66496093,2.202949585
3983.300781,96.00561993,2.179906427
3981.835938,95.34627893,2.15686327
3980.371094,94.68693793,2.133820112
3978.90625,94.02759693,2.110776954
3977.441406,93.36825592,2.087733796
3975.976563,92.70891492,2.064690639
3974.511719,92.04957392,2.041647481
3973.046875,91.39023292,2.018604323
3971.582031,90.73089191,1.995561165
3970.117188,90.07155091,1.972518008
3968.652344,89.41220991,1.94947485
3967.1875,88.75286891,1.926431692
3965.722656,88.09352791,1.903388535
3964.257813,87.4341869,1.880345377
3962.792969,86.7748459,1.857302219
3961.328125,86.1155049,1.834259061
3959.863281,85.4561639,1.811215904
3958.398438,84.7968229,1.788172746
3956.933594,84.13748189,1.765129588
3955.46875,83.47814089,1.742086431
3954.003906,82.81879989,1.719043273
3952.539063,82.15945889,1.696000115
3951.074219,81.50011788,1.672956957
3949.609375,80.84077688,1.6499138
3948.144531,80.18143588,1.626870642
3946.679688,79.52209488,1.603827484
3945.214844,78.86275388,1.580784326
3943.75,78.20341287,1.557741169
3942.285156,77.54407187,1.534698011
3940.820313,76.88473087,1.511654853
3939.355469,76.22538987,1.488611696
3937.890625,75.56604886,1.465568538
3936.425781,74.90670786,1.44252538
3934.960938,74.24736686,1.419482222
3933.496094,73.58802586,1.396439065
3932.03125,72.78700602,1.376171051
3930.566406,71.81117647,1.358051384
3929.101563,70.67364697,1.346747047
3927.636719,69.61657786,1.343426157
3926.171875,68.44019286,1.344313816
3924.707031,67.03147168,1.347929138
3923.242188,65.64626259,1.355318293
3921.777344,64.23997876,1.367188603
3920.3125,63.00185397,1.383569965
3918.847656,61.60128452,1.398107316
3917.382813,59.88600465,1.406272037
3915.917969,58.45925784,1.416401914
3914.453125,56.98742639,1.42794848
3912.988281,55.83214014,1.441977225
3911.523438,55.00732933,1.457723931
3910.058594,54.53568408,1.477319783
3908.59375,54.56797657,1.504411472
3907.128906,55.31317232,1.541127678
3905.664063,56.28352866,1.577176853
3904.199219,57.46246007,1.615057238
3902.734375,58.70085999,1.65003666
3901.269531,60.01976483,1.68440861
3899.804688,61.12817086,1.7226324
3898.339844,62.18943887,1.758344605
3896.875,63.17587738,1.784162491
3895.410156,63.77496364,1.798955278
3893.945313,64.03940687,1.813568256
3892.480469,63.98865405,1.829571631
3891.015625,63.66840721,1.84339829
3889.550781,63.16471027,1.850241234
3888.085938,62.16383013,1.842987063
3886.621094,60.78814039,1.829786514
3885.15625,59.48755573,1.812684763
3883.691406,58.08027372,1.78998506
3882.226563,56.59771077,1.762914976
3880.761719,55.01788339,1.731478355
3879.296875,53.78358368,1.70541171
3877.832031,53.16645536,1.688479162
3876.367188,52.85940547,1.675759389
3874.902344,52.7042447,1.662615558
3873.4375,52.60561444,1.64574274
3871.972656,52.69565845,1.628431505
3870.507813,52.80212867,1.611774318
3869.042969,52.91673696,1.589197514
3867.578125,53.09905317,1.565123807
3866.113281,53.240434,1.539753665
3864.648438,53.4603578,1.518239454
3863.183594,53.72300608,1.495323573
3861.71875,53.75001071,1.472924045
3860.253906,53.94637253,1.452116887
3858.789063,54.12302249,1.432199819
3857.324219,54.1791934,1.413334789
3855.859375,54.36202878,1.400101538
3854.394531,54.48046048,1.387035495
3852.929688,54.57824041,1.379028398
3851.464844,54.59931548,1.372639408
3850,54.41919769,1.369741066
3848.535156,54.11803951,1.363346696
3847.070313,53.44969626,1.358395545
3845.605469,52.72673674,1.357389926
3844.140625,51.9508833,1.358031775
3842.675781,51.18572182,1.36170331
3841.210938,50.30740497,1.367561911
3839.746094,49.54448373,1.377210439
3838.28125,48.76635646,1.387629515
3836.816406,48.1416568,1.401430477
3835.351563,47.62131423,1.417886514
3833.886719,47.17525562,1.433394769
3832.421875,46.83971404,1.449127115
3830.957031,46.70408798,1.466347905
3829.492188,46.71928998,1.483011083
3828.027344,46.90817285,1.500407017
3826.5625,47.26830677,1.517719756
3825.097656,47.74023808,1.533152727
3823.632813,48.31860249,1.546801888
3822.167969,48.91205766,1.558036054
3820.703125,49.55433097,1.56541572
3819.238281,50.09977932,1.566931942
